Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
Maryland,US,3/28/2020 23:05,21,0,0
Virginia,US,3/28/2020 23:05,1,0,0
South Dakota,US,3/28/2020 23:05,1,0,0
South Carolina,US,3/28/2020 23:05,108,1,0
Michigan,US,3/28/2020 23:05,4,0,0
Florida,US,3/28/2020 23:05,12,0,0
Virginia,US,3/28/2020 23:05,0,0,0
Virginia,US,3/28/2020 23:05,12,0,0
Georgia,US,3/28/2020 23:05,1,0,0
Kansas,US,3/28/2020 23:05,0,0,0
Nebraska,US,3/28/2020 23:05,0,0,0
Georgia,US,3/28/2020 23:05,15,0,0
North Carolina,US,3/28/2020 23:05,12,0,0
Georgia,US,3/28/2020 23:05,1,0,0
Georgia,US,3/28/2020 23:05,1,0,0
Kansas,US,3/28/2020 23:05,0,0,0
New York,US,3/28/2020 23:05,5,0,0
New Mexico,US,3/28/2020 23:05,7,0,0
Tennessee,US,3/28/2020 23:05,7,0,0
Michigan,US,3/28/2020 23:05,0,0,0
Washington,US,3/28/2020 23:05,13,1,0
New York,US,3/28/2020 23:05,12,0,0
New York,US,3/28/2020 23:05,8,0,0
Alabama,US,3/28/2020 23:05,1,0,0
Georgia,US,3/28/2020 23:05,52,1,0
Iowa,US,3/28/2020 23:05,0,0,0
Kansas,US,3/28/2020 23:05,2,0,0
North Carolina,US,3/28/2020 23:05,4,0,0
Oklahoma,US,3/28/2020 23:05,1,0,0
South Carolina,US,3/28/2020 23:05,0,0,0
Texas,US,3/28/2020 23:05,1,0,0
Nebraska,US,3/28/2020 23:05,0,0,0
Virginia,US,3/28/2020 23:05,7,0,0
New Hampshire,US,3/28/2020 23:05,2,0,0
Pennsylvania,US,3/28/2020 23:05,116,0,0
South Carolina,US,3/28/2020 23:05,2,0,0
Tennessee,US,3/28/2020 23:05,2,0,0
South Carolina,US,3/28/2020 23:05,4,0,0
Virginia,US,3/28/2020 23:05,12,0,0
Colorado,US,3/28/2020 23:05,0,0,0
Kansas,US,3/28/2020 23:05,0,0,0
Nebraska,US,3/28/2020 23:05,0,0,0
Iowa,US,3/28/2020 23:05,0,0,0
Mississippi,US,3/28/2020 23:05,10,0,0
Arkansas,US,3/28/2020 23:05,1,0,0
Texas,US,3/28/2020 23:05,0,0,0
Alabama,US,3/28/2020 23:05,7,0,0
Michigan,US,3/28/2020 23:05,0,0,0
Minnesota,US,3/28/2020 23:05,0,0,0
Wisconsin,US,3/28/2020 23:05,4,0,0
Minnesota,US,3/28/2020 23:05,1,0,0
Vermont,US,3/28/2020 23:05,105,4,0
Alabama,US,3/28/2020 23:05,1,0,0
Mississippi,US,3/28/2020 23:05,4,0,0
Oklahoma,US,3/28/2020 23:05,1,0,0
Montana,US,3/28/2020 23:05,0,0,0
North Carolina,US,3/28/2020 23:05,0,0,0
Illinois,US,3/28/2020 23:05,1,0,0
Kentucky,US,3/28/2020 23:05,2,0,0
Missouri,US,3/28/2020 23:05,7,0,0
Nevada,US,3/28/2020 23:05,0,0,0
New Mexico,US,3/28/2020 23:05,2,0,0
Oklahoma,US,3/28/2020 23:05,0,0,0
Florida,US,3/28/2020 23:05,14,1,0
Oregon,US,3/28/2020 23:05,36,2,0
Louisiana,US,3/28/2020 23:05,4,0,0
Mississippi,US,3/28/2020 23:05,0,0,0
Tennessee,US,3/28/2020 23:05,2,0,0
Washington,US,3/28/2020 23:05,5,0,0
Michigan,US,3/28/2020 23:05,1,0,0
South Carolina,US,3/28/2020 23:05,7,1,0
Pennsylvania,US,3/28/2020 23:05,1,0,0
Arkansas,US,3/28/2020 23:05,18,0,0
Idaho,US,3/28/2020 23:05,0,0,0
Illinois,US,3/28/2020 23:05,0,0,0
Indiana,US,3/28/2020 23:05,18,0,0
Kansas,US,3/28/2020 23:05,0,0,0
Kentucky,US,3/28/2020 23:05,2,0,0
Missouri,US,3/28/2020 23:05,0,0,0
Nevada,US,3/28/2020 23:05,443,10,0
Ohio,US,3/28/2020 23:05,2,0,0
South Dakota,US,3/28/2020 23:05,0,0,0
Washington,US,3/28/2020 23:05,82,6,0
Wisconsin,US,3/28/2020 23:05,3,0,0
Alabama,US,3/28/2020 23:05,0,0,0
Georgia,US,3/28/2020 23:05,35,2,0
Iowa,US,3/28/2020 23:05,0,0,0
Mississippi,US,3/28/2020 23:05,1,0,0
Virginia,US,3/28/2020 23:05,0,0,0
Oregon,US,3/28/2020 23:05,3,0,0
Alabama,US,3/28/2020 23:05,2,0,0
Arkansas,US,3/28/2020 23:05,0,0,0
Florida,US,3/28/2020 23:05,24,4,0
Georgia,US,3/28/2020 23:05,0,0,0
Illinois,US,3/28/2020 23:05,0,0,0
Indiana,US,3/28/2020 23:05,0,0,0
Iowa,US,3/28/2020 23:05,0,0,0
Kansas,US,3/28/2020 23:05,1,0,0
Kentucky,US,3/28/2020 23:05,0,0,0
Minnesota,US,3/28/2020 23:05,4,0,0
Mississippi,US,3/28/2020 23:05,2,0,0
Missouri,US,3/28/2020 23:05,10,0,0
Nebraska,US,3/28/2020 23:05,0,0,0
North Carolina,US,3/28/2020 23:05,0,0,0
South Dakota,US,3/28/2020 23:05,0,0,0
Tennessee,US,3/28/2020 23:05,0,0,0
Texas,US,3/28/2020 23:05,0,0,0
West Virginia,US,3/28/2020 23:05,0,0,0
Georgia,US,3/28/2020 23:05,57,1,0
Iowa,US,3/28/2020 23:05,1,0,0
Colorado,US,3/28/2020 23:05,3,0,0
Pennsylvania,US,3/28/2020 23:05,2,0,0
Idaho,US,3/28/2020 23:05,0,0,0
Minnesota,US,3/28/2020 23:05,1,0,0
Alabama,US,3/28/2020 23:05,4,0,0
Arkansas,US,3/28/2020 23:05,50,1,0
Ohio,US,3/28/2020 23:05,8,0,0
Arkansas,US,3/28/2020 23:05,5,0,0
North Carolina,US,3/28/2020 23:05,3,0,0
Oklahoma,US,3/28/2020 23:05,46,5,0
Georgia,US,3/28/2020 23:05,1,0,0
Illinois,US,3/28/2020 23:05,5,0,0
Indiana,US,3/28/2020 23:05,1,0,0
Iowa,US,3/28/2020 23:05,1,0,0
Kentucky,US,3/28/2020 23:05,0,0,0
Michigan,US,3/28/2020 23:05,13,0,0
Missouri,US,3/28/2020 23:05,1,0,0
New York,US,3/28/2020 23:05,12,0,0
Ohio,US,3/28/2020 23:05,3,0,0
Pennsylvania,US,3/28/2020 23:05,0,0,0
Kansas,US,3/28/2020 23:05,0,0,0
Mississippi,US,3/28/2020 23:05,18,0,0
Oklahoma,US,3/28/2020 23:05,0,0,0
Georgia,US,3/28/2020 23:05,181,8,0
Arizona,US,3/28/2020 23:05,3,0,0
Texas,US,3/28/2020 23:05,0,0,0
Tennessee,US,3/28/2020 23:05,1,0,0
Arizona,US,3/28/2020 23:05,56,2,0
South Dakota,US,3/28/2020 23:05,2,0,0
Alabama,US,3/28/2020 23:05,0,0,0
Georgia,US,3/28/2020 23:05,3,0,0
Tennessee,US,3/28/2020 23:05,0,0,0
Kansas,US,3/28/2020 23:05,5,0,0
Texas,US,3/28/2020 23:05,0,0,0
Alabama,US,3/28/2020 23:05,1,0,0
Missouri,US,3/28/2020 23:05,17,0,0
Texas,US,3/28/2020 23:05,0,0,0
Illinois,US,3/28/2020 23:05,0,0,0
Nebraska,US,3/28/2020 23:05,0,0,0
New Mexico,US,3/28/2020 23:05,0,0,0
South Carolina,US,3/28/2020 23:05,4,0,0
Florida,US,3/28/2020 23:05,92,0,0
Texas,US,3/28/2020 23:05,118,1,0
Texas,US,3/28/2020 23:05,0,0,0
Virginia,US,3/28/2020 23:05,0,0,0
Texas,US,3/28/2020 23:05,0,0,0
Georgia,US,3/28/2020 23:05,5,0,0
Arkansas,US,3/28/2020 23:05,1,0,0
Florida,US,3/28/2020 23:05,3,0,0
Georgia,US,3/28/2020 23:05,12,0,0
New York,US,3/28/2020 23:05,30,1,0
Oregon,US,3/28/2020 23:05,1,0,0
Pennsylvania,US,3/28/2020 23:05,4,0,0
Washington,US,3/28/2020 23:05,1,0,0
Wisconsin,US,3/28/2020 23:05,7,0,0
Ohio,US,3/28/2020 23:05,9,1,0
North Carolina,US,3/28/2020 23:05,2,0,0
California,US,3/28/2020 23:05,1,0,0
Texas,US,3/28/2020 23:05,9,1,0
Kansas,US,3/28/2020 23:05,0,0,0
Oklahoma,US,3/28/2020 23:05,6,0,0
Texas,US,3/28/2020 23:05,1,0,0
Texas,US,3/28/2020 23:05,0,0,0
Louisiana,US,3/28/2020 23:05,0,0,0
Alabama,US,3/28/2020 23:05,0,0,0
Colorado,US,3/28/2020 23:05,0,0,0
California,US,3/28/2020 23:05,168,2,0
Wyoming,US,3/28/2020 23:05,1,0,0
Arkansas,US,3/28/2020 23:05,1,0,0
Georgia,US,3/28/2020 23:05,0,0,0
Illinois,US,3/28/2020 23:05,2613,28,0
Minnesota,US,3/28/2020 23:05,0,0,0
Texas,US,3/28/2020 23:05,0,0,0
Missouri,US,3/28/2020 23:05,1,0,0
New Hampshire,US,3/28/2020 23:05,0,0,0
Oregon,US,3/28/2020 23:05,0,0,0
Alabama,US,3/28/2020 23:05,2,0,0
Mississippi,US,3/28/2020 23:05,8,0,0
South Dakota,US,3/28/2020 23:05,0,0,0
New York,US,3/28/2020 23:05,7,0,0
Texas,US,3/28/2020 23:05,1,0,0
Ohio,US,3/28/2020 23:05,4,0,0
Colorado,US,3/28/2020 23:05,1,0,0
Texas,US,3/28/2020 23:05,0,0,0
Oklahoma,US,3/28/2020 23:05,0,0,0
Minnesota,US,3/28/2020 23:05,0,0,0
Alabama,US,3/28/2020 23:05,2,0,0
Mississippi,US,3/28/2020 23:05,1,0,0
Virginia,US,3/28/2020 23:05,0,0,0
Georgia,US,3/28/2020 23:05,19,2,0
Kansas,US,3/28/2020 23:05,0,0,0
Washington,US,3/28/2020 23:05,10,0,0
Oklahoma,US,3/28/2020 23:05,1,0,0
Virginia,US,3/28/2020 23:05,0,0,0
Arkansas,US,3/28/2020 23:05,4,0,0
Texas,US,3/28/2020 23:05,1,0,0
North Carolina,US,3/28/2020 23:05,4,0,0
Arkansas,US,3/28/2020 23:05,1,0,0
Georgia,US,3/28/2020 23:05,0,0,0
Illinois,US,3/28/2020 23:05,0,0,0
Indiana,US,3/28/2020 23:05,1,0,0
Iowa,US,3/28/2020 23:05,0,0,0
Kansas,US,3/28/2020 23:05,3,0,0
Michigan,US,3/28/2020 23:05,1,0,0
Missouri,US,3/28/2020 23:05,0,0,0
Ohio,US,3/28/2020 23:05,2,0,0
Pennsylvania,US,3/28/2020 23:05,2,0,0
Wisconsin,US,3/28/2020 23:05,0,0,0
Oklahoma,US,3/28/2020 23:05,16,1,0
Alabama,US,3/28/2020 23:05,1,0,0
Georgia,US,3/28/2020 23:05,5,0,0
Arkansas,US,3/28/2020 23:05,14,0,0
Kentucky,US,3/28/2020 23:05,0,0,0
Tennessee,US,3/28/2020 23:05,0,0,0
Texas,US,3/28/2020 23:05,0,0,0
Oregon,US,3/28/2020 23:05,0,0,0
Wyoming,US,3/28/2020 23:05,0,0,0
Texas,US,3/28/2020 23:05,0,0,0
Arkansas,US,3/28/2020 23:05,1,0,0
Minnesota,US,3/28/2020 23:05,0,0,0
Colorado,US,3/28/2020 23:05,1,1,0
Texas,US,3/28/2020 23:05,0,0,0
Alabama,US,3/28/2020 23:05,7,0,0
Virginia,US,3/28/2020 23:05,2,0,0
Illinois,US,3/28/2020 23:05,1,0,0
Kentucky,US,3/28/2020 23:05,0,0,0
Maine,US,3/28/2020 23:05,120,1,0
New Jersey,US,3/28/2020 23:05,11,0,0
North Carolina,US,3/28/2020 23:05,8,0,0
Pennsylvania,US,3/28/2020 23:05,22,1,0
Tennessee,US,3/28/2020 23:05,6,0,0
Virginia,US,3/28/2020 23:05,0,0,0
Nebraska,US,3/28/2020 23:05,0,0,0
North Carolina,US,3/28/2020 23:05,0,0,0
New Mexico,US,3/28/2020 23:05,1,0,0
Oregon,US,3/28/2020 23:05,0,0,0
Colorado,US,3/28/2020 23:05,0,0,0
Idaho,US,3/28/2020 23:05,1,0,0
Montana,US,3/28/2020 23:05,0,0,0
Nebraska,US,3/28/2020 23:05,0,0,0
Oklahoma,US,3/28/2020 23:05,3,0,0
South Dakota,US,3/28/2020 23:05,0,0,0
Ohio,US,3/28/2020 23:05,370,3,0
Georgia,US,3/28/2020 23:05,0,0,0
Missouri,US,3/28/2020 23:05,0,0,0
Utah,US,3/28/2020 23:05,0,0,0
Minnesota,US,3/28/2020 23:05,33,0,0
Nebraska,US,3/28/2020 23:05,0,0,0
Alabama,US,3/28/2020 23:05,0,0,0
Texas,US,3/28/2020 23:05,0,0,0
Alabama,US,3/28/2020 23:05,2,0,0
Arkansas,US,3/28/2020 23:05,0,0,0
Iowa,US,3/28/2020 23:05,15,0,0
Missouri,US,3/28/2020 23:05,0,0,0
Texas,US,3/28/2020 23:05,439,9,0
Wisconsin,US,3/28/2020 23:05,172,1,0
Montana,US,3/28/2020 23:05,0,0,0
Virginia,US,3/28/2020 23:05,4,0,0
North Carolina,US,3/28/2020 23:05,2,0,0
Ohio,US,3/28/2020 23:05,1,0,0
South Carolina,US,3/28/2020 23:05,8,0,0
Pennsylvania,US,3/28/2020 23:05,23,0,0
North Carolina,US,3/28/2020 23:05,14,0,0
Tennessee,US,3/28/2020 23:05,376,2,0
North Carolina,US,3/28/2020 23:05,6,0,0
Indiana,US,3/28/2020 23:05,0,0,0
Kentucky,US,3/28/2020 23:05,33,0,0
Missouri,US,3/28/2020 23:05,0,0,0
Iowa,US,3/28/2020 23:05,0,0,0
Utah,US,3/28/2020 23:05,59,1,0
South Dakota,US,3/28/2020 23:05,2,0,0
Nebraska,US,3/28/2020 23:05,0,0,0
Georgia,US,3/28/2020 23:05,2,0,0
Montana,US,3/28/2020 23:05,0,0,0
Nebraska,US,3/28/2020 23:05,1,0,0
Texas,US,3/28/2020 23:05,3,0,0
South Dakota,US,3/28/2020 23:05,0,0,0
New Mexico,US,3/28/2020 23:05,0,0,0
Louisiana,US,3/28/2020 23:05,21,1,0
Illinois,US,3/28/2020 23:05,0,0,0
Alabama,US,3/28/2020 23:05,4,0,0
Georgia,US,3/28/2020 23:05,240,2,0
Illinois,US,3/28/2020 23:05,4,0,0
Indiana,US,3/28/2020 23:05,1,0,0
Missouri,US,3/28/2020 23:05,0,0,0
Tennessee,US,3/28/2020 23:05,3,0,0
Florida,US,3/28/2020 23:05,7,0,0
Mississippi,US,3/28/2020 23:05,65,1,0
Texas,US,3/28/2020 23:05,3,0,0
Texas,US,3/28/2020 23:05,2,0,0
Indiana,US,3/28/2020 23:05,8,1,0
Georgia,US,3/28/2020 23:05,3,0,0
Indiana,US,3/28/2020 23:05,30,0,0
Iowa,US,3/28/2020 23:05,0,0,0
Kansas,US,3/28/2020 23:05,0,0,0
Tennessee,US,3/28/2020 23:05,1,0,0
Montana,US,3/28/2020 23:05,0,0,0
Ohio,US,3/28/2020 23:05,5,0,0
California,US,3/28/2020 23:05,0,0,0
Indiana,US,3/28/2020 23:05,8,1,0
Iowa,US,3/28/2020 23:05,0,0,0
New York,US,3/28/2020 23:05,8,0,0
Ohio,US,3/28/2020 23:05,26,0,0
Oklahoma,US,3/28/2020 23:05,4,0,0
Pennsylvania,US,3/28/2020 23:05,226,4,0
Colorado,US,3/28/2020 23:05,2,0,0
Michigan,US,3/28/2020 23:05,0,0,0
Texas,US,3/28/2020 23:05,0,0,0
Alaska,US,3/28/2020 23:05,0,0,0
Missouri,US,3/28/2020 23:05,0,0,0
Texas,US,3/28/2020 23:05,148,2,0
Colorado,US,3/28/2020 23:05,312,3,0
Iowa,US,3/28/2020 23:05,1,0,0
Oregon,US,3/28/2020 23:05,20,0,0
Arkansas,US,3/28/2020 23:05,2,0,0
Nebraska,US,3/28/2020 23:05,0,0,0
South Dakota,US,3/28/2020 23:05,1,0,0
Oklahoma,US,3/28/2020 23:05,0,0,0
South Dakota,US,3/28/2020 23:05,0,0,0
Texas,US,3/28/2020 23:05,0,0,0
Virginia,US,3/28/2020 23:05,0,0,0
North Dakota,US,3/28/2020 23:05,0,0,0
Iowa,US,3/28/2020 23:05,1,0,0
Kansas,US,3/28/2020 23:05,0,0,0
Michigan,US,3/28/2020 23:05,0,0,0
Tennessee,US,3/28/2020 23:05,11,0,0
Alaska,US,3/28/2020 23:05,0,0,0
South Carolina,US,3/28/2020 23:05,1,0,0
Texas,US,3/28/2020 23:05,0,0,0
Virginia,US,3/28/2020 23:05,0,0,0
District of Columbia,US,3/28/2020 23:05,304,4,0
North Dakota,US,3/28/2020 23:05,1,0,0
Florida,US,3/28/2020 23:05,0,0,0
Nebraska,US,3/28/2020 23:05,0,0,0
West Virginia,US,3/28/2020 23:05,0,0,0
Georgia,US,3/28/2020 23:05,1,0,0
Minnesota,US,3/28/2020 23:05,6,0,0
Nebraska,US,3/28/2020 23:05,2,0,0
Wisconsin,US,3/28/2020 23:05,6,0,0
Colorado,US,3/28/2020 23:05,0,0,0
New Mexico,US,3/28/2020 23:05,17,0,0
Kansas,US,3/28/2020 23:05,1,0,0
Texas,US,3/28/2020 23:05,0,0,0
Georgia,US,3/28/2020 23:05,0,0,0
Wisconsin,US,3/28/2020 23:05,0,0,0
Maryland,US,3/28/2020 23:05,0,0,0
South Carolina,US,3/28/2020 23:05,10,0,0
Georgia,US,3/28/2020 23:05,205,13,0
Colorado,US,3/28/2020 23:05,79,0,0
Georgia,US,3/28/2020 23:05,35,1,0
Illinois,US,3/28/2020 23:05,1,0,0
Kansas,US,3/28/2020 23:05,23,0,0
Minnesota,US,3/28/2020 23:05,0,0,0
Missouri,US,3/28/2020 23:05,0,0,0
Nebraska,US,3/28/2020 23:05,51,1,0
Nevada,US,3/28/2020 23:05,5,0,0
Oregon,US,3/28/2020 23:05,4,0,0
South Dakota,US,3/28/2020 23:05,0,0,0
Washington,US,3/28/2020 23:05,5,0,0
Wisconsin,US,3/28/2020 23:05,6,0,0
New Mexico,US,3/28/2020 23:05,0,0,0
Arkansas,US,3/28/2020 23:05,1,0,0
Illinois,US,3/28/2020 23:05,202,6,0
Indiana,US,3/28/2020 23:05,1,0,0
Iowa,US,3/28/2020 23:05,12,1,0
Utah,US,3/28/2020 23:05,0,0,0
Massachusetts,US,3/28/2020 23:05,0,0,0
Massachusetts,US,3/28/2020 23:05,8,0,0
Nebraska,US,3/28/2020 23:05,0,0,0
Missouri,US,3/28/2020 23:05,3,0,0
North Dakota,US,3/28/2020 23:05,1,0,0
Wisconsin,US,3/28/2020 23:05,2,0,0
North Carolina,US,3/28/2020 23:05,1,0,0
North Carolina,US,3/28/2020 23:05,113,0,0
New York,US,3/28/2020 23:05,262,2,0
Florida,US,3/28/2020 23:05,115,3,0
Texas,US,3/28/2020 23:05,0,0,0
Tennessee,US,3/28/2020 23:05,3,0,0
Colorado,US,3/28/2020 23:05,170,1,0
Georgia,US,3/28/2020 23:05,15,1,0
Louisiana,US,3/28/2020 23:05,153,4,0
Louisiana,US,3/28/2020 23:05,1,0,0
Louisiana,US,3/28/2020 23:05,6,0,0
Texas,US,3/28/2020 23:05,4,0,0
Michigan,US,3/28/2020 23:05,8,0,0
Wisconsin,US,3/28/2020 23:05,7,0,0
Georgia,US,3/28/2020 23:05,0,0,0
Texas,US,3/28/2020 23:05,1,0,0
New Mexico,US,3/28/2020 23:05,3,1,0
North Dakota,US,3/28/2020 23:05,0,0,0
Illinois,US,3/28/2020 23:05,0,0,0
North Carolina,US,3/28/2020 23:05,1,0,0
South Carolina,US,3/28/2020 23:05,1,0,0
Kentucky,US,3/28/2020 23:05,0,0,0
South Dakota,US,3/28/2020 23:05,0,0,0
Illinois,US,3/28/2020 23:05,0,0,0
Kansas,US,3/28/2020 23:05,0,0,0
Texas,US,3/28/2020 23:05,0,0,0
Georgia,US,3/28/2020 23:05,4,0,0
Illinois,US,3/28/2020 23:05,0,0,0
California,US,3/28/2020 23:05,12,0,0
Colorado,US,3/28/2020 23:05,160,7,0
Texas,US,3/28/2020 23:05,38,0,0
Colorado,US,3/28/2020 23:05,3,0,0
Georgia,US,3/28/2020 23:05,0,0,0
Kansas,US,3/28/2020 23:05,0,0,0
Pennsylvania,US,3/28/2020 23:05,0,0,0
Indiana,US,3/28/2020 23:05,11,0,0
Nevada,US,3/28/2020 23:05,2,0,0
Kentucky,US,3/28/2020 23:05,0,0,0
Kansas,US,3/28/2020 23:05,0,0,0
Oklahoma,US,3/28/2020 23:05,0,0,0
Texas,US,3/28/2020 23:05,13,0,0
Kansas,US,3/28/2020 23:05,0,0,0
Alabama,US,3/28/2020 23:05,12,0,0
Idaho,US,3/28/2020 23:05,0,0,0
Georgia,US,3/28/2020 23:05,0,0,0
Utah,US,3/28/2020 23:05,0,0,0
Iowa,US,3/28/2020 23:05,0,0,0
Michigan,US,3/28/2020 23:05,4,0,0
North Dakota,US,3/28/2020 23:05,0,0,0
Virginia,US,3/28/2020 23:05,0,0,0
Texas,US,3/28/2020 23:05,1,0,0
New York,US,3/28/2020 23:05,318,6,0
Ohio,US,3/28/2020 23:05,5,1,0
Pennsylvania,US,3/28/2020 23:05,7,0,0
Alabama,US,3/28/2020 23:05,1,0,0
Florida,US,3/28/2020 23:05,28,0,0
Nevada,US,3/28/2020 23:05,0,0,0
Massachusetts,US,3/28/2020 23:05,472,3,0
New Jersey,US,3/28/2020 23:05,1086,7,0
New York,US,3/28/2020 23:05,5,0,0
Vermont,US,3/28/2020 23:05,0,0,0
Virginia,US,3/28/2020 23:05,0,0,0
Kentucky,US,3/28/2020 23:05,0,0,0
Alabama,US,3/28/2020 23:05,6,0,0
Nevada,US,3/28/2020 23:05,0,0,0
Louisiana,US,3/28/2020 23:05,4,0,0
Georgia,US,3/28/2020 23:05,0,0,0
Alaska,US,3/28/2020 23:05,19,0,0
Virginia,US,3/28/2020 23:05,156,2,0
Virginia,US,3/28/2020 23:05,0,0,0
Connecticut,US,3/28/2020 23:05,908,20,0
Ohio,US,3/28/2020 23:05,14,0,0
South Carolina,US,3/28/2020 23:05,4,0,0
South Dakota,US,3/28/2020 23:05,0,0,0
Montana,US,3/28/2020 23:05,0,0,0
Texas,US,3/28/2020 23:05,1,0,0
Virginia,US,3/28/2020 23:05,0,0,0
Georgia,US,3/28/2020 23:05,3,0,0
Texas,US,3/28/2020 23:05,1,0,0
Minnesota,US,3/28/2020 23:05,1,0,0
South Dakota,US,3/28/2020 23:05,1,0,0
Arkansas,US,3/28/2020 23:05,29,0,0
Virginia,US,3/28/2020 23:05,6,0,0
Alabama,US,3/28/2020 23:05,0,0,0
Georgia,US,3/28/2020 23:05,25,2,0
Illinois,US,3/28/2020 23:05,1,0,0
Indiana,US,3/28/2020 23:05,4,1,0
Iowa,US,3/28/2020 23:05,2,0,0
Kentucky,US,3/28/2020 23:05,28,2,0
Ohio,US,3/28/2020 23:05,1,0,0
Pennsylvania,US,3/28/2020 23:05,10,0,0
Tennessee,US,3/28/2020 23:05,4,0,0
Texas,US,3/28/2020 23:05,1,0,0
West Virginia,US,3/28/2020 23:05,0,0,0
Tennessee,US,3/28/2020 23:05,0,0,0
Montana,US,3/28/2020 23:05,0,0,0
Washington,US,3/28/2020 23:05,1,0,0
Minnesota,US,3/28/2020 23:05,5,0,0
Nebraska,US,3/28/2020 23:05,0,0,0
Kansas,US,3/28/2020 23:05,0,0,0
Texas,US,3/28/2020 23:05,0,0,0
Florida,US,3/28/2020 23:05,13,0,0
Montana,US,3/28/2020 23:05,6,0,0
Kentucky,US,3/28/2020 23:05,0,0,0
South Carolina,US,3/28/2020 23:05,12,3,0
Wisconsin,US,3/28/2020 23:05,0,0,0
Georgia,US,3/28/2020 23:05,27,1,0
Indiana,US,3/28/2020 23:05,13,0,0
Iowa,US,3/28/2020 23:05,0,0,0
Kentucky,US,3/28/2020 23:05,0,0,0
Texas,US,3/28/2020 23:05,0,0,0
Virginia,US,3/28/2020 23:05,0,0,0
Virginia,US,3/28/2020 23:05,3,0,0
Texas,US,3/28/2020 23:05,0,0,0
Wisconsin,US,3/28/2020 23:05,20,1,0
Illinois,US,3/28/2020 23:05,0,0,0
Kansas,US,3/28/2020 23:05,1,0,0
Pennsylvania,US,3/28/2020 23:05,0,0,0
Wisconsin,US,3/28/2020 23:05,0,0,0
Mississippi,US,3/28/2020 23:05,18,0,0
Georgia,US,3/28/2020 23:05,21,1,0
North Carolina,US,3/28/2020 23:05,33,0,0
Texas,US,3/28/2020 23:05,101,1,0
North Dakota,US,3/28/2020 23:05,1,0,0
Indiana,US,3/28/2020 23:05,1,0,0
Alabama,US,3/28/2020 23:05,3,0,0
Arkansas,US,3/28/2020 23:05,0,0,0
Florida,US,3/28/2020 23:05,0,0,0
Georgia,US,3/28/2020 23:05,2,0,0
Idaho,US,3/28/2020 23:05,0,0,0
Illinois,US,3/28/2020 23:05,1,0,0
Indiana,US,3/28/2020 23:05,23,2,0
Iowa,US,3/28/2020 23:05,0,0,0
Kansas,US,3/28/2020 23:05,6,0,0
Kentucky,US,3/28/2020 23:05,2,0,0
Louisiana,US,3/28/2020 23:05,4,0,0
Maine,US,3/28/2020 23:05,2,0,0
Massachusetts,US,3/28/2020 23:05,39,2,0
Mississippi,US,3/28/2020 23:05,3,0,0
Missouri,US,3/28/2020 23:05,6,0,0
Nebraska,US,3/28/2020 23:05,0,0,0
New York,US,3/28/2020 23:05,5,0,0
North Carolina,US,3/28/2020 23:05,5,0,0
Ohio,US,3/28/2020 23:05,222,2,0
Pennsylvania,US,3/28/2020 23:05,7,0,0
Tennessee,US,3/28/2020 23:05,3,0,0
Texas,US,3/28/2020 23:05,0,0,0
Vermont,US,3/28/2020 23:05,7,0,0
Virginia,US,3/28/2020 23:05,1,0,0
Washington,US,3/28/2020 23:05,12,0,0
Virginia,US,3/28/2020 23:05,0,0,0
Maryland,US,3/28/2020 23:05,22,0,0
Virginia,US,3/28/2020 23:05,4,0,0
Virginia,US,3/28/2020 23:05,1,0,0
Minnesota,US,3/28/2020 23:05,0,0,0
Texas,US,3/28/2020 23:05,0,0,0
Colorado,US,3/28/2020 23:05,1,0,0
Idaho,US,3/28/2020 23:05,1,0,0
Iowa,US,3/28/2020 23:05,0,0,0
Wyoming,US,3/28/2020 23:05,20,0,0
California,US,3/28/2020 23:05,31,0,0
Texas,US,3/28/2020 23:05,0,0,0
Nebraska,US,3/28/2020 23:05,0,0,0
Arkansas,US,3/28/2020 23:05,0,0,0
Georgia,US,3/28/2020 23:05,373,12,0
Illinois,US,3/28/2020 23:05,0,0,0
Indiana,US,3/28/2020 23:05,1,0,0
Kentucky,US,3/28/2020 23:05,0,0,0
New York,US,3/28/2020 23:05,1,0,0
Ohio,US,3/28/2020 23:05,2,0,0
Pennsylvania,US,3/28/2020 23:05,0,0,0
Nebraska,US,3/28/2020 23:05,0,0,0
Florida,US,3/28/2020 23:05,1,0,0
Nebraska,US,3/28/2020 23:05,1,0,0
Texas,US,3/28/2020 23:05,1,0,0
Virginia,US,3/28/2020 23:05,1,0,0
Illinois,US,3/28/2020 23:05,0,0,0
Kentucky,US,3/28/2020 23:05,0,0,0
Montana,US,3/28/2020 23:05,46,0,0
Ohio,US,3/28/2020 23:05,1,1,0
Texas,US,3/28/2020 23:05,49,0,0
Nebraska,US,3/28/2020 23:05,0,0,0
Colorado,US,3/28/2020 23:05,16,0,0
Montana,US,3/28/2020 23:05,0,0,0
Nebraska,US,3/28/2020 23:05,0,0,0
Oklahoma,US,3/28/2020 23:05,0,0,0
Utah,US,3/28/2020 23:05,0,0,0
Washington,US,3/28/2020 23:05,0,0,0
Arkansas,US,3/28/2020 23:05,20,0,0
Kentucky,US,3/28/2020 23:05,0,0,0
Maryland,US,3/28/2020 23:05,3,0,0
Oklahoma,US,3/28/2020 23:05,2,0,0
Texas,US,3/28/2020 23:05,0,0,0
